percentage,Unnamed: 1,percentage.1,ket,elapsed_time,gpu_used,dataset,experiment,file_path,subset_percentage_file
30,3,,Total,590.8841688632965,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_30.csv,30
40,0,40.0,Dataloader,376.3828029632568,503.58349609375,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_40.csv,40
40,1,40.0,Train,481.8498854637146,479.48095703125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_40.csv,40
40,2,40.0,Test,10.095779418945312,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_40.csv,40
40,3,,Total,868.3284678459167,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_40.csv,40
50,0,50.0,Dataloader,469.01998925209045,503.58349609375,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_50.csv,50
50,1,50.0,Train,729.6494579315186,479.48095703125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_50.csv,50
50,2,50.0,Test,14.933393239974976,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_50.csv,50
50,3,,Total,1213.602840423584,478.67626953125,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_50.csv,50
60,0,60.0,Dataloader,549.8960902690887,503.58349609375,ag-news-roberta-whitening-svd,ag-news-roberta-whitening-svd-bilstm,save\ag-news-roberta-whitening-svd\ag-news-roberta-whitening-svd-bilstm\summary_efficiency_60.csv,60
